NOC,Record
JAM,"100 meters:, Elaine Thompson Herah 10.61 sec"
USA,"200 meters:, Florence Griffith Joyner 21.34 sec, 400 meters hurdles:, Sydney McLaughlin 51.46 sec, 4x100 m relay:, Tianna Madison, Allyson Felix, Bianca Knight, Carmelita Jeter 40.82 sec, Long jump:, Jackie Joyner-Kersee 7.40 m, Hepathlon:, Jackie Joyner-Kersee 7291 pts"
FRA,"400 meters:, Marie-José Pérec 48.25 sec"
RUS,"800 meters:, Nadezhda Olizarenko 1:53.43 min (USSR), 3 000 m Steeplechase:, Gulnara Galkina-Samitova 8:58.81 min, 4x400 m relay:, Tatyana Ledovskay, Olga Nazarova, Mariya Pinigina, Olga Bryzgina 3:15.17 min (USSR), 20 km walk:, Elena Lashmanova 1:25:02 hr, High jump:, Yelena Slesarenko 2.06 m, Pole vault:, Yelena Isinbayeva"
KEN,"1 500 meters:, Faith Kipyegon 3:53.11 min, 5 000 meters:, Vivian Cheruiyot 14:26.17 min"
ETH,"10 000 meters:, Almaz Ayana 29:17.45 min, Marathon:, Tiki Gelana 2:23:07"
PUR,"100 meters hurdles:, Jasmine Camacho-Quinn 12.26 sec"
VEN,"Triple jump:, Yulimar Rojas 15.67 m"
GER,"Shot put:, Ilona Slupianek 22.41 m (GDR), Discus throw:, Martina Hellman 72.30 m"
POL,"Hammer throw:, Anita Włodarczyk 82.29 m"
CUB,"Javelin throw:, Olseidys Menéndez 71.53 m"