Nation,Population,Exists,First_App,Medal,S_Medal,W_Medal,Appearances (Total),Medals (Total),Gold,Silver,Bronze,Appearances (Summer),Medals (Summer),SO_Gold,SO_Silver,SO_Bronze,Appearances (Winter),Medals (Winter),WO_Gold,WO_Silver,WO_Bronze,MostSuccessfulSport,Medals,Golds,Silvers,Bronzes,id,Hosts (Total),Hosts (Summer),Hosts (Winter),HostInfo,RecordsM,RecordsW,Flag,Medals (Per capita),Aeronautics,Alpine Skiing,Alpinism,Archery,Art Competitions,Athletics,Badminton,Baseball,Basketball,Basque Pelota,Beach Volleyball,Biathlon,Bobsleigh,Boxing,Canoeing,Cricket,Croquet,Cross Country Skiing,Curling,Cycling,Diving,Equestrianism,Fencing,Figure Skating,Football,Freestyle Skiing,Golf,Gymnastics,Handball,Hockey,Ice Hockey,Jeu De Paume,Judo,Lacrosse,Luge,Military Ski Patrol,Modern Pentathlon,Motorboating,Nordic Combined,Polo,Racquets,Rhythmic Gymnastics,Roque,Rowing,Rugby,Rugby Sevens,Sailing,Shooting,Short Track Speed Skating,Skeleton,Ski Jumping,Snowboarding,Softball,Speed Skating,Swimming,Synchronized Swimming,Table Tennis,Taekwondo,Tennis,Trampolining,Triathlon,Tug-Of-War,Volleyball,Water Polo,Weightlifting,Wrestling
Hungary,9721559,YES,1896,10.16,18.88,0.30,49,518,182,156,180,26,511,181,154,176,23,7,1,2,4,Fencing,87,37,23,27,HUN,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,53.28,0,0,0,0,5,52,0,0,0,0,0,0,0,20,158,0,0,0,0,0,0,1,236,12,79,0,0,111,45,0,0,0,9,0,0,0,38,0,0,0,0,0,0,8,0,0,2,17,0,0,0,0,0,0,94,0,0,0,1,0,0,0,0,172,20,55
Iceland,335025,YES,1912,0.11,0.20,0.00,38,4,0,2,2,20,4,0,2,2,18,0,0,0,0,Handball,1,0,1,0,ISL,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg,11.94,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independent Olympic Participants,0,NO,1992,3.00,1.25,5.33,7,21,2,7,12,4,5,1,1,3,3,16,1,6,9,-,0,0,0,0,XIP,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1339180127,YES,1900,0.82,1.17,0.00,34,35,10,9,16,24,35,10,9,16,10,0,0,0,0,Field Hockey,11,8,1,2,IND,0,0,0,,,,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg,0.03,0,0,7,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5
Indonesia,263991379,YES,1952,2.13,2.13,0.00,15,37,8,14,15,15,37,8,14,15,0,0,0,0,0,Badminton,19,7,6,6,IDN,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,0.14,0,0,0,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Iran,81162788,YES,1900,2.56,4.31,0.00,27,76,22,24,30,16,76,22,24,30,11,0,0,0,0,Wrestling,43,9,14,20,IRN,0,0,0,,,,,0.94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,18,43
Iraq,38274618,YES,1948,0.07,0.07,0.00,14,1,0,0,1,14,1,0,0,1,0,0,0,0,0,Weightlifting,1,0,0,1,IRQ,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ireland,4761657,YES,1924,1.11,1.48,0.00,28,35,11,10,14,21,35,11,10,14,7,0,0,0,0,Boxing,16,2,5,9,IRL,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,7.35,0,0,0,0,3,6,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Israel,8321570,YES,1952,0.39,0.56,0.00,23,13,3,1,9,16,13,3,1,9,7,0,0,0,0,Judo,5,0,1,4,ISR,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,59359900,YES,1896,14.02,21.37,5.39,50,741,256,224,261,27,617,216,188,213,23,124,40,36,48,Fencing,125,49,43,33,ITA,3,1,2,"1956 Winter Olympics (Cortina d'Ampezzo), 1960 Summer Olympics (Rome), 2006 Summer Olympics (Turin)",,,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,12.48,0,30,0,15,14,72,0,0,24,0,2,10,32,47,23,0,0,61,0,124,12,46,359,3,48,0,0,109,0,0,0,0,15,0,24,0,13,0,1,0,0,12,0,183,0,0,26,43,21,1,0,2,0,6,27,0,0,3,1,0,0,0,72,120,15,21
Ivory Coast,24294750,YES,1964,0.23,0.23,0.00,13,4,1,1,2,13,4,1,1,2,0,0,0,0,0,Taekwondo,2,1,0,1,CIV,0,0,0,,,,,0.16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Jamaica,2890299,YES,1948,3.12,4.59,0.00,25,87,26,36,25,17,87,26,36,25,8,0,0,0,0,Athletics,77,22,35,20,JAM,0,0,0,,"100 meters:, Usain Bolt 9.63 sec, 200 meters:, Usain Bolt 19.30 sec, 4x100m relay:, Nesta carter, Michael Fater, Yohan Blake, Usain Bolt 36.84 sec","100 meters:, Elaine Thompson Herah 10.61 sec",https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg,30.10,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,127484450,YES,1912,11.56,19.95,2.76,43,555,183,172,200,22,497,169,150,178,21,58,14,22,22,Judo,84,39,19,26,JPN,4,2,2,"1964 Summer Olympics (Tokyo), 1972 Winter Olympics (Sapporo), 1998 Winter Olympics (Nagano), 2020 Summer Olympics (Tokyo)",,,https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg,4.35,0,1,0,7,2,31,5,64,0,0,0,0,0,5,1,0,0,0,0,6,0,1,5,5,34,3,0,166,0,11,0,0,84,0,0,0,0,0,8,0,0,0,0,0,0,0,4,6,6,0,20,3,44,17,123,52,10,1,4,0,0,0,101,0,14,69
Jordan,9702353,YES,1980,0.10,0.10,0.00,10,3,1,1,1,10,3,1,1,1,0,0,0,0,0,Taekwondo,1,1,0,0,JOR,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kazakhstan,18204499,YES,1994,5.46,10.50,1.14,13,79,16,24,39,6,71,15,21,35,7,8,1,3,4,Boxing,22,7,7,8,KAZ,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kazakhstan.svg,4.34,0,0,0,0,0,4,0,0,0,0,0,1,0,22,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,16,17
Kenya,49699862,YES,1956,5.72,7.36,0.00,18,113,35,42,36,14,113,35,42,36,4,0,0,0,0,Athletics,96,30,37,29,KEN,0,0,0,,"800 meters:, David Rudisha 1:40.91 min, Marathon:, Samuel Wanjiru 2:06:32 hr, 3 000 m steeplechase:, Conseslus Kipruto 8:03.28 min","1 500 meters:, Faith Kipyegon 3:53.11 min, 5 000 meters:, Vivian Cheruiyot 14:26.17 min",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,2.27,0,0,0,0,0,99,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,116398,YES,2004,0.00,0.00,0.00,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-,0,0,0,0,KIR,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kiribati.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korea,76473177,NO,2018,0.00,0.00,0.00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,0,0,0,0,XKR,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, North",25490965,YES,1964,2.95,5.40,0.22,19,56,16,17,23,10,54,16,16,22,9,2,0,1,1,Weightlifting,17,5,8,4,PRK,0,0,0,,,,,2.20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,5,0,0,0,0,0,11,0,17,10
"Korea, South",50982212,YES,1948,9.63,15.71,3.89,35,357,127,116,114,17,287,96,91,100,18,70,31,25,14,Short track speed skating,48,24,13,11,KOR,2,1,1,"1988 Summer Olympics (Seoul), 2018 Winter Olympics (Pyeongchang)",,,,7.00,0,0,0,69,0,2,35,48,11,0,0,0,0,20,0,0,0,0,0,0,0,0,20,2,18,0,1,9,96,48,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,73,0,0,0,0,11,4,0,33,19,0,0,0,0,12,0,12,36
Kosovo,1920079,YES,2016,0.50,1.00,0.00,2,3,3,0,0,1,3,3,0,0,1,0,0,0,0,Judo,1,1,0,0,XKO,0,0,0,,,,,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,4136528,YES,1968,0.17,0.17,0.00,12,3,0,0,3,12,3,0,0,3,0,0,0,0,0,Shooting,2,0,0,2,KWT,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Kuwait.svg,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,6045117,YES,1994,0.31,0.67,0.00,13,7,0,3,4,6,7,0,3,4,7,0,0,0,0,Wrestling,4,0,1,3,KGZ,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/c/c7/Flag_of_Kyrgyzstan.svg,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Laos,6858160,YES,1980,0.00,0.00,0.00,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,-,0,0,0,0,LAO,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,1949670,YES,1924,1.27,1.73,0.82,22,30,5,14,11,11,21,4,11,6,11,9,1,3,5,Cycling,3,2,0,1,LVA,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg,15.39,0,0,0,0,0,5,0,0,0,0,2,0,4,0,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Lebanon,6082357,YES,1948,0.12,0.24,0.00,34,4,0,2,2,17,4,0,2,2,17,0,0,0,0,Wrestling,3,0,1,2,LBN,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Lesotho,2233339,YES,1972,0.00,0.00,0.00,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,-,0,0,0,0,LSO,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Lesotho.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,4731906,YES,1956,0.00,0.00,0.00,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,-,0,0,0,0,LBR,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,6374616,YES,1964,0.00,0.00,0.00,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,-,0,0,0,0,LBY,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,37922,YES,1936,0.28,0.00,0.53,36,10,2,2,6,17,0,0,0,0,19,10,2,2,6,Alpine Skiing,10,2,2,6,LIE,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Liechtenstein.svg,263.70,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,2890297,YES,1924,1.44,2.89,0.00,18,27,6,8,13,9,27,6,8,13,9,0,0,0,0,Modern pentathlon,4,1,2,1,LTU,0,0,0,,"Discus throw:, Virgilijus Alekna 69.89 m",,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg,9.34,0,0,0,0,0,5,0,0,35,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
Luxembourg,583455,YES,1900,0.13,0.09,0.22,32,4,1,3,0,23,2,1,1,0,9,2,0,2,0,Alpine Skiing,2,0,2,0,LUX,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,6.86,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Macedonia,2083160,YES,1996,0.08,0.17,0.00,12,2,0,1,1,6,2,0,1,1,6,0,0,0,0,Wrestling,1,0,0,1,MKD,0,0,0,,,,,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Madagascar,25570895,YES,1964,0.00,0.00,0.00,14,0,0,0,0,12,0,0,0,0,2,0,0,0,0,-,0,0,0,0,MDG,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Madagascar.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,18622104,YES,1972,0.00,0.00,0.00,12,0,0,0,0,10,0,0,0,0,2,0,0,0,0,-,0,0,0,0,MWI,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Flag_of_Malawi.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaya,0,NO,1956,0.00,0.00,0.00,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-,0,0,0,0,XML,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,31624264,YES,1956,0.79,0.85,0.00,14,13,0,8,5,13,13,0,8,5,1,0,0,0,0,Badminton,8,0,6,2,MYS,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_Malaysia.svg,0.41,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives,436330,YES,1988,0.00,0.00,0.00,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,-,0,0,0,0,MDV,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Maldives.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,18541980,YES,1964,0.00,0.00,0.00,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,-,0,0,0,0,MLI,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,430835,YES,1928,0.00,0.00,0.00,18,0,0,0,0,16,0,0,0,0,2,0,0,0,0,-,0,0,0,0,MLT,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,53127,YES,2008,0.00,0.00,0.00,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-,0,0,0,0,XMI,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/2/2e/Flag_of_the_Marshall_Islands.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,4420184,YES,1984,0.00,0.00,0.00,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,-,0,0,0,0,MRT,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Mauritania.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,1265138,YES,1984,0.11,0.11,0.00,9,1,0,0,1,9,1,0,0,1,0,0,0,0,0,Boxing,1,0,0,1,MUS,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Mauritius.svg,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,129163276,YES,1900,2.16,3.00,0.00,32,73,13,24,36,23,73,13,24,36,9,0,0,0,0,Taekwondo,7,2,2,3,MEX,1,1,0,1968 Summer Olympics (Mexico City),,,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,0.57,0,0,0,2,0,11,0,0,11,0,0,0,0,13,0,0,0,0,0,2,17,17,1,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,1,1
Federated States of Micronesia,105544,YES,2000,0.00,0.00,0.00,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,-,0,0,0,0,FSM,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,4051212,YES,1994,0.38,0.83,0.00,13,6,0,2,4,6,6,0,2,4,7,0,0,0,0,Shooting,1,0,1,0,MDA,0,0,0,,,,,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
